configuration_id,pair_id,shape,profile,n_p,n_q,target_mi_p,target_mi_q,section,method,replicates,rejected,valid,rate,valid_rate,rate_mcse,paired_minus_wald,paired_mcse
config_f5bd1ee837e6f46b,pair_0a0e0f72610302eb,2x2,uniform,2,2,0.02,0.02,main,normal_wald,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_f5bd1ee837e6f46b,pair_0a0e0f72610302eb,2x2,uniform,2,2,0.02,0.02,main,hutcheson_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_f5bd1ee837e6f46b,pair_0a0e0f72610302eb,2x2,uniform,2,2,0.02,0.02,main,simple_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_f5bd1ee837e6f46b,pair_0a0e0f72610302eb,2x2,uniform,2,2,0.02,0.02,main,kurtosis_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_f5bd1ee837e6f46b,pair_0a0e0f72610302eb,2x2,uniform,2,2,0.02,0.02,main,expanded_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_f5bd1ee837e6f46b,pair_0a0e0f72610302eb,2x2,uniform,2,2,0.02,0.02,main,observed_support_wald,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_e988f1580360e8c9,pair_0b7dd028d07380ef,2x2,uniform,2,2,0.02,0.021,main,normal_wald,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_e988f1580360e8c9,pair_0b7dd028d07380ef,2x2,uniform,2,2,0.02,0.021,main,hutcheson_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_e988f1580360e8c9,pair_0b7dd028d07380ef,2x2,uniform,2,2,0.02,0.021,main,simple_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_e988f1580360e8c9,pair_0b7dd028d07380ef,2x2,uniform,2,2,0.02,0.021,main,kurtosis_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_e988f1580360e8c9,pair_0b7dd028d07380ef,2x2,uniform,2,2,0.02,0.021,main,expanded_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_e988f1580360e8c9,pair_0b7dd028d07380ef,2x2,uniform,2,2,0.02,0.021,main,observed_support_wald,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_14eff8d6d8725945,pair_5daadbd2d6c7623a,2x2,uniform,2,2,0.02,0.022,main,normal_wald,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_14eff8d6d8725945,pair_5daadbd2d6c7623a,2x2,uniform,2,2,0.02,0.022,main,hutcheson_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_14eff8d6d8725945,pair_5daadbd2d6c7623a,2x2,uniform,2,2,0.02,0.022,main,simple_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_14eff8d6d8725945,pair_5daadbd2d6c7623a,2x2,uniform,2,2,0.02,0.022,main,kurtosis_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_14eff8d6d8725945,pair_5daadbd2d6c7623a,2x2,uniform,2,2,0.02,0.022,main,expanded_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_14eff8d6d8725945,pair_5daadbd2d6c7623a,2x2,uniform,2,2,0.02,0.022,main,observed_support_wald,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_d2e15044a3c962ba,pair_be82699e9841393d,2x2,uniform,2,2,0.02,0.025,main,normal_wald,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_d2e15044a3c962ba,pair_be82699e9841393d,2x2,uniform,2,2,0.02,0.025,main,hutcheson_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_d2e15044a3c962ba,pair_be82699e9841393d,2x2,uniform,2,2,0.02,0.025,main,simple_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_d2e15044a3c962ba,pair_be82699e9841393d,2x2,uniform,2,2,0.02,0.025,main,kurtosis_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_d2e15044a3c962ba,pair_be82699e9841393d,2x2,uniform,2,2,0.02,0.025,main,expanded_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_d2e15044a3c962ba,pair_be82699e9841393d,2x2,uniform,2,2,0.02,0.025,main,observed_support_wald,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_ccfced6d6219974c,pair_843b32122b86c600,2x2,uniform,2,2,0.02,0.03,main,normal_wald,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_ccfced6d6219974c,pair_843b32122b86c600,2x2,uniform,2,2,0.02,0.03,main,hutcheson_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_ccfced6d6219974c,pair_843b32122b86c600,2x2,uniform,2,2,0.02,0.03,main,simple_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_ccfced6d6219974c,pair_843b32122b86c600,2x2,uniform,2,2,0.02,0.03,main,kurtosis_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_ccfced6d6219974c,pair_843b32122b86c600,2x2,uniform,2,2,0.02,0.03,main,expanded_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_ccfced6d6219974c,pair_843b32122b86c600,2x2,uniform,2,2,0.02,0.03,main,observed_support_wald,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_0375c4a204613747,pair_f92afa0319e6f637,2x2,uniform,2,2,0.02,0.04,main,normal_wald,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_0375c4a204613747,pair_f92afa0319e6f637,2x2,uniform,2,2,0.02,0.04,main,hutcheson_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_0375c4a204613747,pair_f92afa0319e6f637,2x2,uniform,2,2,0.02,0.04,main,simple_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_0375c4a204613747,pair_f92afa0319e6f637,2x2,uniform,2,2,0.02,0.04,main,kurtosis_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_0375c4a204613747,pair_f92afa0319e6f637,2x2,uniform,2,2,0.02,0.04,main,expanded_welch,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_0375c4a204613747,pair_f92afa0319e6f637,2x2,uniform,2,2,0.02,0.04,main,observed_support_wald,20000,0,0,0.0,0.0,0.0,0.0,0.0
config_84f092d5d1a9d628,pair_0a0e0f72610302eb,2x2,uniform,5,5,0.02,0.02,main,normal_wald,20000,1922,19743,0.0961,0.98715,0.0020840440254466797,0.0,0.0
config_84f092d5d1a9d628,pair_0a0e0f72610302eb,2x2,uniform,5,5,0.02,0.02,main,hutcheson_welch,20000,1405,19743,0.07025,0.98715,0.0018071377576156168,-0.02585,0.00112211934863972
config_84f092d5d1a9d628,pair_0a0e0f72610302eb,2x2,uniform,5,5,0.02,0.02,main,simple_welch,20000,1405,19743,0.07025,0.98715,0.0018071377576156168,-0.02585,0.00112211934863972
config_84f092d5d1a9d628,pair_0a0e0f72610302eb,2x2,uniform,5,5,0.02,0.02,main,kurtosis_welch,20000,1124,15519,0.0562,0.77595,0.0016285201871637945,-0.0399,0.001384014188787
config_84f092d5d1a9d628,pair_0a0e0f72610302eb,2x2,uniform,5,5,0.02,0.02,main,expanded_welch,20000,0,15519,0.0,0.77595,0.0,-0.0961,0.0020840961285011885
config_84f092d5d1a9d628,pair_0a0e0f72610302eb,2x2,uniform,5,5,0.02,0.02,main,observed_support_wald,20000,2511,19743,0.12555,0.98715,0.002342938299443671,0.02945,0.0011954941803776235
